,Symboling,Losses,Fuel_type,Aspiration,Number_of_doors,Drive_wheels,Wheel_base,Length,Width,Height,Curb-Weight,Engine_type,Num_of_Cylinders,Engine_size,Fuel_system,Bore,Stroke,Compression_ratio,Horse_power(Prediction),Peak_rpm,City_mpg,Highway_mpg
0,0.0,122.0,1.0,0.0,0.0,2.0,103.5,189.0,66.9,55.7,3230.0000000000005,3.0,3.0,209.0,5.0,3.62,3.39,8.0,285.0976045570255,5400.0,16.0,22.0
1,0.0,122.0,1.0,1.0,1.0,0.0,99.5,178.2,67.9,52.0,3053.0,3.0,1.0,131.0,5.0,3.13,3.4,7.0,135.6181296541871,5500.000000000001,16.0,22.0
2,0.0,106.0,1.0,0.0,0.0,1.0,97.2,173.4,65.2,54.7,2302.0,3.0,2.0,120.0,1.0,3.33,3.47,8.5,95.25600793131858,5200.0,27.0,34.0
3,2.9999999999999996,150.0,1.0,0.0,1.0,1.0,99.1,186.6,66.5,56.1,2658.0,3.0,2.0,121.0,5.0,3.5399999999999996,3.07,9.31,68.92658962000417,5250.0,21.0,28.0
4,-1.0,93.0,0.0,1.0,0.0,2.0,110.0,190.9,70.3,58.7,3750.0,3.0,1.0,183.0,3.0,3.58,3.64,21.5,224.7612470954968,4350.0,22.0,25.0
5,1.0000000000000002,128.0,1.0,0.0,1.0,1.0,94.5,165.6,63.8,53.3,2028.0,3.0,2.0,97.0,1.0,3.15,3.29,9.4,85.73095972031396,5200.0,31.0,37.0
6,0.0,91.0,0.0,0.0,0.0,1.0,95.7,166.3,64.4,52.8,2275.0,3.0,2.0,110.0,3.0,3.27,3.35,22.5,78.89203631237342,4500.0,38.0,47.0
7,0.0,91.0,1.0,0.0,0.0,1.0,95.7,166.3,64.4,52.8,2140.0,3.0,2.0,98.0,1.0,3.19,3.03,9.0,97.04666358602292,4800.0,28.0,34.0
8,0.0,89.0,1.0,0.0,0.0,1.0,97.0,173.5,65.4,52.99999999999999,2455.0000000000005,4.0,2.0,108.0,5.0,3.62,2.64,9.0,103.99572042816251,5200.0,25.0,31.0
9,2.0,122.0,0.0,0.0,1.0,1.0,97.3,171.7,65.5,55.7,2261.0,3.0,2.0,97.0,3.0,3.01,3.4,23.0,62.225767381577235,4800.0,37.0,46.0
10,0.0,122.0,1.0,0.0,0.0,1.0,100.4,180.2,66.9,55.1,2661.0,3.0,1.0,136.0,5.0,3.19,3.4,8.5,88.59759357757073,5500.000000000001,19.0,23.999999999999996
11,1.0000000000000002,168.0,1.0,0.0,1.0,2.0,94.5,168.7,64.0,52.599999999999994,2204.0,3.0,2.0,98.0,1.0,3.19,3.03,9.0,79.86872252487754,4800.0,29.0,34.0
12,0.0,117.99999999999999,1.0,0.0,0.0,2.0,104.9,175.0,66.1,54.4,2670.0,3.0,2.0,140.0,5.0,3.76,3.16,8.0,171.36899077920168,5000.0,19.0,27.0
13,-1.0,65.0,1.0,0.0,0.0,1.0,102.4,175.6,66.5,53.9,2414.0,3.0,2.0,122.0,5.0,3.31,3.54,8.7,92.46616718028731,4200.0,27.0,32.0
14,0.0,122.0,1.0,0.0,0.0,2.0,120.9,208.1,71.7,56.699999999999996,3900.0,5.0,0.0,308.0,5.0,3.8000000000000003,3.35,8.0,236.9610618915721,4500.0,14.0,16.0
15,1.0000000000000002,74.0,1.0,0.0,0.0,1.0,95.7,158.7,63.6,54.49999999999999,2015.0,3.0,2.0,92.0,1.0,3.05,3.03,9.0,75.08582496279948,4800.0,31.0,38.0
16,2.0,121.0,1.0,0.0,1.0,1.0,88.4,141.1,60.3,53.2,1488.0,2.0,4.0,61.0,1.0,2.91,3.03,9.5,60.64274531984091,5100.0,47.0,53.00000000000001
